"chemical","cas"
"56425-91-3","II"
"57018-04-9","U"
"57052-04-7","O"
"57130-91-3","O"
"57369-32-1","II"
"57375-63-0","O"
"57646-30-7","II"
"57837-19-1","II"
"57966-95-7","II"
"58011-68-0","U"
"58138-08-2","O"
"58667-63-3","O"
"58810-48-3","III"
"59669-26-0","II"
"59756-60-4","U"
"60168-88-9","III"
"60207-31-0","II"
"60207-90-1","II"
"60207-93-4","O"
"60568-05-0","O"
"61213-25-0","III"
"61432-55-1","II"
"62610-77-9","II"
"62850-32-2","II"
"62865-36-5","U"
"62924-70-3","U"
"63278-33-1","O"
"63284-71-9","II"
"63333-35-7","Ia"
"63935-38-6","U"
"64249-01-0","II"
"64491-92-5","O"
"64628-44-0","U"
"64902-72-3","U"
"65907-30-4","Ib"
"65934-95-4","O"
"66063-05-6","U"
"66215-27-8","III"
"66230-04-4","II"
"66246-88-6","III"
"66332-96-5","U"
"66441-23-4","III"
"66841-25-6","II"
"66952-49-6","II"
"67129-08-2","III"
"67306-00-7","II"
"67375-30-8","II"
"67485-29-4","II"
"67564-91-4","III"
"67747-09-5","II"
"68038-71-1","III"
"68085-85-8","II"
"68228-20-6","O"
"68359-37-5","Ib"
"68505-69-1","III"
"69309-47-3","O"
"69327-76-0","III"
"69335-91-7","O"
"69377-81-7","U"
"69409-94-5","II"
"69581-33-5","O"
"69806-34-4","II"
"70124-77-5","Ib"
"70193-21-4","O"
"71048-99-2","II"
"71283-80-2","III"
"71422-67-8","U"
"71561-11-0","II"
"71626-11-4","III"
"71751-41-2","Ib"
"72178-02-0","II"
"72490-01-8","U"
"72963-72-5","II"
"73250-68-7","U"
"73886-28-9","O"
"74051-80-2","III"
"74070-46-5","U"
"74115-24-5","III"
"74223-56-6","U"
"74223-64-6","U"
"74712-19-9","U"
"74738-17-3","U"
"74782-23-3","U"
"75736-33-3","O"
"76578-12-6","II"
"76608-88-3","O"
"76674-21-0","II"
"76738-62-0","II"
"77182-82-2","II"
"77458-01-6","II"
"77501-60-1","II"
"77732-09-3","II"
"78587-05-0","U"
"79241-46-6","III"
"79277-27-3","U"
"79538-32-2","Ib"
"79983-71-4","III"
"80060-09-9","III"
"80844-07-1","U"
"81334-34-1","U"
"81335-37-7","U"
"81335-77-5","U"
"81405-85-8","U"
"81412-43-3","II"
"81777-89-1","II"
"82097-50-5","U"
"82211-24-3","U"
"82558-50-7","U"
"82560-54-1","II"
"82657-04-3","II"
"83055-99-6","U"
"83121-18-0","U"
"83130-01-2","II"
"83164-33-4","III"
"83657-22-1","II"
"83657-24-3","II"
"83733-82-8","O"
"84087-01-4","III"
"84332-86-5","III"
"84496-56-0","U"
"85509-19-9","II"
"85785-20-2","III"
"86479-06-3","U"
"86598-92-7","U"
"87130-20-9","U"
"87310-56-3","O"
"87674-68-8","II"
"87757-18-4","O"
"87818-31-3","III"
"87820-88-0","II"
"88283-41-4","III"
"88485-37-4","II"
"88671-89-0","II"
"89269-64-7","II"
"90035-08-8","Ia"
"90134-59-1","III"
"90717-03-6","U"
"91465-08-6","II"
"94361-06-5","II"
"94593-91-6","U"
"95266-40-3","III"
"95465-99-9","Ib"
"95721-12-3","O"
"95737-68-1","U"
"96182-53-5","Ia"
"96489-71-3","II"
"97886-45-8","U"
"98389-04-9","U"
"98730-04-2","U"
"98967-40-9","U"
"99283-00-8","III"
"99387-89-0","II"
"101007-06-1","U"
"101205-02-1","III"
"101463-69-8","III"
"102851-06-9","III"
"103055-07-8","III"
"103112-36-3","U"
"103361-09-7","III"
"104030-54-8","U"
"104040-78-0","III"
"104098-48-8","III"
"104206-82-8","III"
"104653-34-1","Ia"
"105024-66-6","U"
"106040-48-6","U"
"107534-96-3","II"
"108173-90-6","II"
"110235-47-7","U"
"110488-70-5","III"
"111479-05-1","U"
"111988-49-9","II"
"111991-09-4","U"
"112143-82-5","II"
"112226-61-6","III"
"112281-77-3","II"
"112410-23-8","U"
"112839-32-4","O"
"113036-87-6","U"
"113036-88-7","U"
"114311-32-9","III"
"114369-43-6","III"
"116170-30-0","O"
"116255-48-2","II"
"116714-46-6","U"
"117428-22-5","III"
"118134-30-8","II"
"118712-89-3","U"
"119168-77-3","II"
"119446-68-3","II"
"119738-06-6","II"
"120068-37-3","II"
"120116-88-3","U"
"120162-55-2","U"
"120928-09-8","II"
"121451-02-3","U"
"122008-85-9","U"
"122453-73-0","II"
"122931-48-0","U"
"123312-89-0","III"
"123343-16-8","III"
"124495-18-7","U"
"125116-23-6","II"
"125401-75-4","III"
"126535-15-7","U"
"126833-17-8","U"
"130000-40-7","U"
"131341-86-1","U"
"131807-57-3","U"
"131860-33-8","U"
"131983-72-7","III"
"134098-61-6","II"
